First,Last,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt
Jerome,LeBanner,,75.0,265.0,,Southpaw,3,2,0,
Chris,Leben,The Crippler,71.0,185.0,73.0,Southpaw,22,11,0,
Mickael,Lebout,Ragnar,71.0,155.0,73.0,Orthodox,16,7,1,
Stephen,Ledbetter,,69.0,145.0,,Orthodox,8,3,0,
Justin,Ledet,El Blanco,76.0,205.0,80.0,Orthodox,9,4,0,
James,Lee,,71.0,205.0,,Southpaw,15,3,0,
David,Lee,,70.0,155.0,,Orthodox,12,10,0,
Jackie,Lee,,,,,Unrecorded,0,1,0,
Eun Soo,Lee,,73.0,215.0,,Orthodox,17,4,0,
Tae Hyun,Lee,,78.0,295.0,,Orthodox,1,2,0,
Tommy,Lee,,67.0,145.0,,Orthodox,25,6,0,
Matt,Lee,,71.0,155.0,,Orthodox,14,10,1,
Imani,Lee,,,,,Orthodox,2,4,0,
Vaughan,Lee,,66.0,125.0,66.0,Orthodox,14,13,1,
Kevin,Lee,The Motown Phenom,69.0,170.0,77.0,Orthodox,18,8,0,
Rocky,Lee,,69.0,145.0,,Orthodox,3,2,0,
Andrea,Lee,KGB,66.0,125.0,69.0,Orthodox,13,11,0,
JeongYeong,Lee,Korean Tiger,70.0,145.0,73.0,Orthodox,11,2,0,
JungHyun,Lee,The Phenom,65.0,125.0,65.0,Orthodox,8,1,0,
ChangHo,Lee,,68.0,135.0,69.0,Orthodox,10,1,0,
Ricky,Legere Jr.,IE Bad Boy,68.0,170.0,,Unrecorded,14,4,0,
Sherron,Leggett,Rob Roy,68.0,155.0,,Southpaw,21,6,0,
Cheyden,Leialoha,Steadfast,68.0,135.0,73.0,Orthodox,6,0,0,
Claudia,Leite,,63.0,135.0,64.0,Orthodox,8,3,0,
Thales,Leites,,73.0,185.0,78.0,Orthodox,28,9,0,
Stefan,Leko,Blitz,74.0,215.0,,Orthodox,0,3,0,
Gabe,Lemley,,68.0,155.0,,Orthodox,13,9,0,
Amanda,Lemos,,64.0,115.0,65.0,Southpaw,15,4,1,
Giacomo,Lemos,,75.0,247.0,75.0,Orthodox,6,0,0,
Christophe,Leninger,,72.0,200.0,,Southpaw,3,4,0,
Jesse,Lennox,The Ox,69.0,170.0,72.0,Orthodox,14,4,0,
Jean Francois,Lenogue,,72.0,185.0,,Orthodox,16,17,3,
Nik,Lentz,The Carny,68.0,145.0,68.0,Orthodox,30,12,2,
Alberta Cerra,Leon,,68.0,238.0,,Unrecorded,0,1,0,
Victoria,Leonardo,Fury,65.0,125.0,64.0,Orthodox,9,7,0,
Anthony,Leone,,66.0,135.0,,Orthodox,15,8,0,
Chad,Leonhardt,The Boss,72.0,170.0,,Unrecorded,9,4,0,
Kimo,Leopoldo,,75.0,235.0,,Orthodox,10,7,1,
Michael,Lerma,,,,,Unrecorded,0,1,0,
Lukasz,Les,,,170.0,,Unrecorded,8,3,0,
Brock,Lesnar,,75.0,265.0,81.0,Orthodox,5,3,0,
Frank,Lester,,71.0,170.0,,Orthodox,11,6,0,
Valerie,Letourneau,Trouble,67.0,115.0,68.0,Orthodox,8,6,0,
Leah,Letson,Nidas,67.0,145.0,71.0,Southpaw,5,3,0,
Justin,Levens,The Executioner,71.0,185.0,,Orthodox,10,7,0,
Marcus,LeVesseur,The Prospect,69.0,155.0,70.0,Southpaw,22,7,0,
David,Levicki,,77.0,275.0,,Unrecorded,1,3,0,
Kyle,Levinton,,,,,Unrecorded,0,3,0,
Natan,Levy,Lethal,69.0,155.0,71.0,Southpaw,8,2,0,
John,Lewis,,72.0,155.0,,Southpaw,3,4,3,
Derrick,Lewis,The Black Beast,75.0,260.0,79.0,Orthodox,28,12,0,
Bevon,Lewis,,75.0,185.0,79.0,Orthodox,7,3,0,
Brandon,Lewis,,64.0,135.0,70.0,Orthodox,6,2,0,
Malik,Lewis,Hard Knock,72.0,155.0,75.0,Orthodox,6,2,0,
Chi,Lewis-Parry,Chopper,81.0,243.0,,Unrecorded,7,0,1,
Li,Jingliang,The Leech,72.0,170.0,71.0,Orthodox,19,9,0,
Li,Yunfeng,,68.0,135.0,68.0,Orthodox,9,5,0,
Liang,Na,The Dragon Girl,65.0,125.0,67.0,Orthodox,19,8,0,
Jess,Liaudin,The Joker,69.0,170.0,72.0,Orthodox,20,11,0,
Chuck,Liddell,The Iceman,74.0,205.0,76.0,Orthodox,21,8,0,
Rodrigo,Lidio,Dynamis,71.0,155.0,73.0,Orthodox,12,3,0,
Sam,Liera,,,,,Unrecorded,12,10,0,
Zach,Light,,68.0,170.0,,Orthodox,9,11,0,
Scott,Lighty,,74.0,205.0,,Unrecorded,6,2,0,
Chris,Liguori,,69.0,185.0,,Orthodox,15,10,0,
Donnie,Liles,,69.0,170.0,,Orthodox,17,7,0,
Jae Suk,Lim,,69.0,170.0,,Orthodox,17,6,0,
Hyun Gyu,Lim,The Ace,75.0,170.0,77.0,Orthodox,13,7,1,
Juliana,Lima,Ju Thai,65.0,115.0,65.0,Orthodox,9,5,0,
Dhiego,Lima,,74.0,170.0,75.0,Orthodox,17,9,0,
Douglas,Lima,The Phenom,73.0,170.0,,Unrecorded,29,6,0,
Mabelly,Lima,,62.0,135.0,,Orthodox,7,1,0,
Andre,Lima,Mascote,67.0,125.0,67.0,Orthodox,11,0,0,
Felipe,Lima,Jungle Boy,66.0,145.0,68.0,Orthodox,14,1,0,
Miguel,Linares,,,,,Unrecorded,2,4,0,
Emiliano,Linares,Golden Bull,68.0,145.0,72.0,Orthodox,8,2,0,
Matt,Lindland,The Law,72.0,185.0,74.0,Southpaw,22,9,0,
Jake,Lindsey,The Librarian,71.0,155.0,,Switch,12,7,0,
John,Lineker,Hands of Stone,63.0,135.0,67.0,Orthodox,31,9,0,
Austin,Lingo,Lights Out,70.0,145.0,70.0,Orthodox,9,3,0,
Lucio,Linhares,,74.0,185.0,,Orthodox,19,8,0,
Philipe,Lins,Monstro,74.0,205.0,78.0,Orthodox,18,5,0,
Tainara,Lisboa,Thai Panther,67.0,135.0,67.0,Orthodox,7,2,0,
Dean,Lister,The Boogeyman,73.0,185.0,75.0,Orthodox,13,7,0,
Wesley,Little,,76.0,205.0,,Unrecorded,4,8,0,
James,Llontop,Goku,72.0,155.0,73.0,Orthodox,14,5,0,
Abner,Lloveras,Skullman,71.0,155.0,,Unrecorded,20,9,1,
Brian,Lo-A-Njoe,,67.0,155.0,,Orthodox,6,10,3,
John,Lober,The Machine,71.0,199.0,,Orthodox,5,9,4,
Artem,Lobov,The Russian Hammer,69.0,145.0,65.0,Southpaw,13,15,1,
Dylan,Lockard,,69.0,145.0,72.0,Orthodox,6,2,0,
Ryan,Loder,Man of Steel,74.0,185.0,76.0,Southpaw,8,1,0,
Sean,Loeffler,The Destroyer,75.0,185.0,,Orthodox,31,5,0,
Christian,Lohsen,Hollywood,74.0,155.0,77.0,Southpaw,4,2,0,
David,Loiseau,The Crow,72.0,185.0,76.0,Orthodox,23,11,0,
Hector,Lombard,,69.0,185.0,71.0,Southpaw,34,10,1,
Michael,Lombardo,The Don,72.0,170.0,72.0,Orthodox,11,2,0,
Rocky,Long,,,145.0,,Unrecorded,21,37,1,
Thomas,Longacre,,69.0,145.0,,Orthodox,6,1,0,
Loma,Lookboonmee,,61.0,115.0,61.0,Orthodox,9,3,0,
Ange,Loosa,The Last Ninja,70.0,170.0,74.0,Orthodox,10,4,0,
Lucas,Lopes,,74.0,185.0,,Unrecorded,29,19,0,
Dileno,Lopes,,65.0,135.0,,Unrecorded,19,3,0,
Diego,Lopes,,71.0,145.0,72.0,Orthodox,26,6,0,
Bruno,Lopes,Brunao,74.0,205.0,74.0,Orthodox,14,1,0,
Arthur,Lopes,Demolidor,74.0,234.0,77.0,Southpaw,6,2,0,
Ivan,Lopez,,66.0,135.0,,Southpaw,14,3,1,
Steve,Lopez,,71.0,155.0,,Orthodox,13,6,1,
Federico,Lopez,Kiko,64.0,139.0,,Orthodox,10,6,0,
Jorge,Lopez,,70.0,170.0,,Orthodox,11,5,0,
Christopher,Lopez,,70.0,170.0,,Unrecorded,9,1,0,
Matthew,Lopez,,67.0,135.0,69.0,Southpaw,10,4,0,
Benito,Lopez,Golden Boy,70.0,135.0,73.0,Switch,10,2,0,
Gustavo,Lopez,,65.0,135.0,67.0,Orthodox,12,6,1,
Brendan,Loughnane,,70.0,145.0,70.0,Switch,17,3,0,
Nate,Loughran,,74.0,185.0,,Orthodox,11,2,0,
Caolan,Loughran,The Don,66.0,135.0,68.0,Orthodox,10,2,0,
Rashard,Lovelace,,,155.0,,Unrecorded,4,1,0,
Ian,Loveland,The Barn Owl,68.0,145.0,,Orthodox,18,10,0,
Jakob,Lovstad,The Striking Viking,75.0,205.0,,Orthodox,11,4,0,
Waylon,Lowe,,67.0,145.0,,Southpaw,16,7,0,
Brandon,Lowe,,,155.0,,Unrecorded,2,1,0,
Joe,Lowry,,71.0,155.0,73.0,Orthodox,9,2,0,
Lu,Kai,The Last Gladiator,69.0,145.0,69.0,Orthodox,8,5,0,
Lu,Zhengyong,,,125.0,,Unrecorded,12,7,0,
Robert,Lucarelli,,74.0,245.0,,Unrecorded,0,1,0,
Matt,Lucas,Luke Duke,73.0,205.0,,Unrecorded,15,3,0,
Cleber,Luciano,,66.0,155.0,,Unrecorded,14,6,0,
Stephanie,Luciano,Rondinha,66.0,115.0,65.0,Orthodox,6,2,1,
Iasmin,Lucindo,,63.0,115.0,66.0,Orthodox,17,6,0,
Duane,Ludwig,Bang,70.0,170.0,70.0,Orthodox,21,14,0,
Mike,Lullo,,68.0,145.0,,Orthodox,8,3,0,
Paula,Luna,La Prodigia,62.0,125.0,62.0,Orthodox,5,3,0,
Dalcha,Lungiambula,Champion,68.0,185.0,76.0,Orthodox,11,6,0,
Alexandru,Lungu,,72.0,385.0,,Orthodox,14,4,0,
Vicente,Luque,The Silent Assassin,71.0,170.0,75.0,Orthodox,23,10,1,
Thaddeus,Luster,,75.0,210.0,,Unrecorded,0,1,0,
Travis,Lutter,The Serial Killer,71.0,185.0,75.0,Orthodox,10,6,0,
Joilton,Lutterbach,Peregrino,73.0,185.0,75.0,Orthodox,38,9,0,
Tucker,Lutz,Top Gun,68.0,145.0,72.0,Orthodox,12,4,0,
Lv,Zhenhong,,68.0,145.0,67.0,Switch,16,6,0,
Stevie,Lynch,,70.0,170.0,,Orthodox,5,2,0,
Adam,Lynn,,70.0,155.0,,Orthodox,17,10,0,
Chris,Lytle,Lights Out,71.0,170.0,68.0,Orthodox,31,18,5,
Dong Hyun,Ma,Maestro,71.0,155.0,70.0,Orthodox,16,11,3,
Pawan,Maan,,67.0,155.0,70.0,Orthodox,7,3,1,
William,Macario,Patolino,71.0,170.0,75.0,Orthodox,9,3,0,
Jason,MacDonald,The Athlete,75.0,185.0,80.0,Orthodox,25,16,0,
Rob,MacDonald,Maximus,75.0,205.0,78.0,Orthodox,5,4,0,
Rory,MacDonald,Red King,72.0,170.0,76.0,Orthodox,19,4,0,
Ryan,MacDonald,Main Event,71.0,135.0,71.0,Switch,10,2,0,
Clayton,MacFarlane,,,170.0,,Unrecorded,4,1,0,
Ilima,Macfarlane,,64.0,125.0,,Unrecorded,6,0,0,
Valesca,Machado,Tina Black,64.0,115.0,63.0,Orthodox,8,3,0,
Caio,Machado,Bigfoot,76.0,250.0,78.0,Southpaw,8,4,1,
Ian,Machado Garry,The Future,75.0,170.0,74.0,Orthodox,15,1,0,
Lyoto,Machida,The Dragon,73.0,185.0,74.0,Southpaw,24,8,0,
War,Machine,,71.0,170.0,,Orthodox,14,5,0,
Anthony,Macias,Mad Dog,69.0,185.0,,Switch,26,18,0,
Pauline,Macias,PITA,64.0,115.0,64.0,Southpaw,4,1,0,
Reza,Madadi,Mad Dog,71.0,155.0,73.0,Orthodox,14,6,0,
Don,Madge,Magic Man,72.0,155.0,72.0,Southpaw,9,3,1,
Ryan,Madigan,,72.0,170.0,,Orthodox,5,3,0,
Victor,Madrigal,Periquito,67.0,135.0,71.0,Orthodox,15,5,0,
Jon,Madsen,,72.0,240.0,72.0,Orthodox,8,2,0,
Mark,Madsen,The Olympian,68.0,155.0,72.0,Orthodox,12,2,0,
Yoshiro,Maeda,,67.0,139.0,68.0,Southpaw,35,16,5,
Leonardo,Mafra,Macarrao,70.0,155.0,70.0,Orthodox,13,4,0,
Vinny,Magalhaes,Pezao,75.0,205.0,75.0,Orthodox,14,9,0,
Vinicius,Magalhaes,Draculinho,,145.0,,Unrecorded,2,1,0,
Caio,Magalhaes,Hellboy,73.0,185.0,73.0,Orthodox,10,3,0,
Bernardo,Magalhaes,Trekko,69.0,155.0,,Orthodox,13,4,0,
Eric,Magana,,,,,Unrecorded,1,1,0,
Brandon,Magana,,,170.0,,Orthodox,6,2,0,
Angela,Magana,Your Majesty,61.0,115.0,65.0,Orthodox,11,9,0,
Neil,Magny,The Haitian Sensation,75.0,170.0,80.0,Orthodox,29,14,0,
Raimond,Magomedaliev,,73.0,170.0,75.0,Orthodox,10,2,0,
Ibragim,Magomedov,,72.0,250.0,,Orthodox,22,8,1,
Rashid,Magomedov,Highlander,69.0,155.0,70.0,Orthodox,20,2,0,
Ruslan,Magomedov,Leopard,75.0,242.0,78.0,Orthodox,14,1,0,
Abus,Magomedov,,74.0,185.0,78.0,Orthodox,27,6,1,
Shara,Magomedov,Bullet,74.0,185.0,73.0,Orthodox,15,1,0,
Zabit,Magomedsharipov,,73.0,145.0,73.0,Orthodox,18,1,0,
John,Maguire,The One,69.0,155.0,69.0,Southpaw,24,9,0,
Lolohea,Mahe,,,,,Unrecorded,10,4,1,
Michelle,Maher,,,145.0,,Unrecorded,1,2,0,
,Maheshate,,72.0,155.0,71.0,Orthodox,10,4,0,
Bill,Mahood,The Butcher,75.0,200.0,,Orthodox,20,7,1,
Klayton,Mai,,69.0,125.0,,Unrecorded,8,3,0,
Demian,Maia,,73.0,170.0,72.0,Southpaw,28,11,0,
Jennifer,Maia,,64.0,125.0,64.0,Orthodox,21,10,1,
Nayara,Maia,Capita,65.0,125.0,66.0,Orthodox,7,1,1,
Roshan,Mainam,The Indian Notorious,,135.0,,Unrecorded,6,3,0,
Levan,Makashvili,The Hornet,68.0,145.0,68.0,Orthodox,15,2,1,
John,Makdessi,The Bull,68.0,155.0,68.0,Orthodox,18,9,0,
Islam,Makhachev,,70.0,155.0,70.0,Southpaw,27,1,0,
Aliev,Makhmud,,66.0,195.0,,Southpaw,0,1,0,
Zach,Makovsky,Fun Size,64.0,125.0,64.0,Southpaw,20,8,0,
Azat,Maksum,Qazaq,67.0,125.0,70.0,Southpaw,17,1,0,
Jeremy,Malaterre,,71.0,155.0,,Unrecorded,4,2,0,
Fabio,Maldonado,Caipira de Aco,73.0,205.0,75.0,Orthodox,23,11,0,
Marvin,Maldonado,The Bulldog,66.0,135.0,,Unrecorded,2,4,0,
Bea,Malecki,,69.0,135.0,74.0,Orthodox,4,1,0,
Nazareno,Malegarie,El Tigre,68.0,155.0,,Unrecorded,28,4,0,
Carl,Malenko,,71.0,200.0,,Orthodox,6,4,0,
Jacob,Malkoun,Mamba,69.0,185.0,73.0,Orthodox,8,3,0,
Mike,Malott,Proper,73.0,170.0,73.0,Orthodox,11,2,1,
Dan,Manasoiu,,,,,Unrecorded,0,0,0,
Troy,Mandaloniz,Rude Boy,69.0,170.0,,Orthodox,3,2,0,
Nate,Maness,Mayhem,70.0,125.0,72.0,Orthodox,16,3,0,
Michael,Mangan,,,155.0,,Unrecorded,0,3,0,
Gary,Mangat,,67.0,135.0,,Unrecorded,15,3,0,
Melvin,Manhoef,No Mercy,69.0,185.0,,Orthodox,30,14,1,
Melchor,Manibusan,Barracuda,65.0,154.0,,Southpaw,2,4,0,
Jon,Manley,,73.0,170.0,,Orthodox,9,4,0,
Steve,Mann,,73.0,170.0,,Unrecorded,12,5,0,
Marnic,Mann,The Sawed-Off Savage,60.0,115.0,64.0,Southpaw,6,3,0,
Dylan,Mantello,The Quiet Man,73.0,155.0,73.0,Orthodox,8,4,0,
Chris,Manuel,,69.0,135.0,,Orthodox,9,7,2,
Jimi,Manuwa,Poster Boy,73.0,205.0,79.0,Orthodox,17,6,0,
Cristiano,Marcello,,69.0,155.0,72.0,Orthodox,13,6,0,
Daniel,Marcos,Soncora,67.0,135.0,69.0,Orthodox,17,0,0,
Jose,Maria,No Chance,65.0,125.0,,Orthodox,37,7,0,
Marcos,Mariano,Dhalsim,73.0,155.0,76.0,Switch,6,6,0,
Enrique,Marin,Wasabi,70.0,170.0,,Unrecorded,10,4,0,
Chepe,Mariscal,Machine Gun,67.0,145.0,69.0,Orthodox,18,6,0,
Ronny,Markes,,73.0,185.0,75.0,Orthodox,17,5,0,
Rory,Markham,,72.0,170.0,71.0,Orthodox,17,6,0,
Randa,Markos,Quiet Storm,64.0,115.0,63.0,Orthodox,11,12,1,
Christina,Marks,,67.0,125.0,69.0,Orthodox,8,9,0,
Brendon,Marotte,The Kid,69.0,145.0,70.0,Orthodox,8,3,0,
Nate,Marquardt,The Great,72.0,185.0,74.0,Orthodox,35,19,2,
Danilo,Marques,,78.0,205.0,77.0,Orthodox,11,4,0,
Julian,Marquez,The Cuban Missile Crisis,74.0,185.0,72.0,Orthodox,9,6,0,
Carmelo,Marrero,The Fury,72.0,205.0,73.0,Orthodox,16,6,0,
Cesar,Marscucci,,,,,Unrecorded,3,2,0,
John,Marsh,,72.0,265.0,,Orthodox,8,7,0,
CJ,Marsh,,,,,Unrecorded,5,7,0,
Eliot,Marshall,Fire,74.0,205.0,77.0,Orthodox,10,4,0,
Doug,Marshall,The Rhino,70.0,205.0,,Orthodox,18,8,0,
David,Marshall,,74.0,170.0,,Unrecorded,8,4,0,
Francis,Marshall,Fire,69.0,145.0,72.0,Orthodox,8,3,0,
Jack,Marshman,The Hammer,72.0,185.0,73.0,Orthodox,23,10,0,
Terry,Martin,,68.0,185.0,71.0,Orthodox,23,11,0,
Eric,Martin,,,,,Unrecorded,0,1,0,
Justin,Martin,,72.0,185.0,,Unrecorded,4,3,0,
Dave,Martin,,72.0,205.0,,Unrecorded,0,2,0,
Joe,Martin,,69.0,170.0,,Unrecorded,6,8,0,
Anthony Rocco,Martin,,72.0,170.0,73.0,Orthodox,17,6,0,
Mallory,Martin,,64.0,115.0,63.0,Orthodox,7,5,0,
Michal,Martinek,,74.0,230.0,,Southpaw,7,1,0,
Rainy,Martinez,,72.0,199.0,,Orthodox,0,2,0,
Danny,Martinez,The Gremlin,66.0,125.0,67.0,Orthodox,21,8,0,
Alonzo,Martinez,Zo Diddy,70.0,155.0,,Unrecorded,42,20,1,
Henry,Martinez,Sicario,67.0,155.0,69.0,Southpaw,9,4,0,
Jonathan,Martinez,Dragon,68.0,135.0,70.0,Southpaw,19,6,0,
Poppies,Martinez,The Tachi Kid,69.0,145.0,,Unrecorded,29,11,0,
Andrew,Martinez,Mickey D,69.0,215.0,,Unrecorded,9,6,0,
Mana,Martinez,ManaBoi,70.0,135.0,70.0,Orthodox,10,4,0,
Victor,Martinez,The Brick,68.0,155.0,70.0,Orthodox,13,6,0,
Roque,Martinez,,70.0,250.0,72.0,Orthodox,15,8,2,
Melissa,Martinez,Super Mely,62.0,115.0,66.0,Southpaw,8,1,0,
Julieta,Martinez,The Ninja Ferret,61.0,115.0,62.0,Orthodox,8,0,0,
David,Martinez,Black Spartan,65.0,135.0,67.0,Orthodox,11,1,0,
Wagner da Conceicao,Martins,Zuluzinho,79.0,390.0,,Orthodox,9,8,0,
Adriano,Martins,,70.0,155.0,72.0,Southpaw,28,9,0,
Lucas,Martins,Mineiro,72.0,145.0,72.0,Southpaw,19,3,0,
Max,Martyniouk,Payne,,155.0,,Unrecorded,1,1,0,
Bristol,Marunde,,73.0,170.0,75.0,Orthodox,16,10,0,
Shoji,Maruyama,,67.0,139.0,,Orthodox,12,9,1,
Kazuma,Maruyama,Gluttony,71.0,155.0,72.0,Orthodox,11,7,0,
Islem,Masraf,Lightning,72.0,205.0,74.0,Southpaw,3,1,0,
Mike,Massenzio,The Master of Disaster,74.0,185.0,73.0,Southpaw,13,9,0,
Jameel,Massouh,,70.0,145.0,72.0,Orthodox,26,9,0,
Tiffany,Masters,Rainbow Renegade,63.0,115.0,65.0,Orthodox,2,1,0,
Jorge,Masvidal,Gamebred,71.0,170.0,74.0,Orthodox,35,17,0,
Al,Matavao,Sweetness,68.0,205.0,67.0,Orthodox,8,3,0,
Tateki,Matsuda,Tech,67.0,125.0,,Orthodox,13,8,0,
Daijiro,Matsui,,69.0,200.0,,Orthodox,13,29,7,
Toki,Matsui,,66.0,125.0,65.0,Orthodox,6,1,0,
Koichiro,Matsumoto,,67.0,145.0,,Unrecorded,15,3,1,
Jean,Matsumoto,,66.0,135.0,68.0,Orthodox,16,1,0,
Koyomi,Matsushima,,67.0,145.0,66.0,Orthodox,13,6,0,
Naoki,Matsushita,,66.0,155.0,,Orthodox,12,16,11,
AJ,Matthews,,71.0,185.0,,Unrecorded,8,7,0,
Jake,Matthews,The Celtic Kid,71.0,170.0,73.0,Orthodox,21,7,0,
Connor,Matthews,The Controller,68.0,145.0,71.0,Switch,7,3,0,
Claudio,Mattos,Popeye,,185.0,,Orthodox,5,4,0,
John,Matua,,74.0,400.0,,Orthodox,1,4,0,
Francesco,Maturi,,,,,Unrecorded,0,1,0,
Vladimir,Matyushenko,The Janitor,72.0,205.0,74.0,Orthodox,27,8,0,
Miranda,Maverick,Fear The,63.0,125.0,65.0,Southpaw,17,5,0,
Nick,Maximov,,72.0,185.0,76.0,Southpaw,8,2,0,
Elaina,Maxwell,Beef,68.0,145.0,,Orthodox,7,4,0,
Jeremy,May,,73.0,185.0,,Unrecorded,13,10,0,
Jack,May,The Outlaw,80.0,255.0,,Switch,9,3,0,
Don'Tale,Mayes,Lord Kong,78.0,260.0,81.0,Orthodox,11,8,0,
Gray,Maynard,,69.0,155.0,70.0,Orthodox,13,7,1,
Brooke,Mayo,The Bully,67.0,125.0,,Unrecorded,0,1,0,
Gina,Mazany,Danger,66.0,125.0,68.0,Southpaw,7,6,0,
Sabina,Mazo,Colombian Queen,67.0,125.0,70.0,Orthodox,9,4,0,
Francesco,Mazzeo,,75.0,205.0,75.0,Orthodox,4,1,0,
Scott,McAfee,,68.0,155.0,,Orthodox,14,7,0,
Bobby,McAndrews,,,,,Orthodox,1,3,0,
Michael,McBride,,73.0,155.0,,Orthodox,8,3,0,
Ian,McCall,Uncle Creepy,65.0,125.0,64.0,Orthodox,13,5,1,
Molly,McCann,Meatball,64.0,115.0,62.0,Orthodox,14,8,0,
Charles,McCarthy,Chainsaw,70.0,185.0,71.0,Orthodox,10,5,0,
Eric,McConico,,72.0,185.0,77.0,Southpaw,9,3,1,
Sean,McCorkle,,79.0,265.0,81.0,Orthodox,17,7,0,
Danni,McCormack,Mac,64.0,125.0,62.0,Southpaw,9,2,0,
Kris,McCray,Savage,72.0,170.0,76.0,Orthodox,8,5,0,
Tamdan,McCrory,The Barncat,76.0,185.0,76.0,Switch,14,5,0,
Rob,McCullough,Razor,69.0,155.0,69.0,Orthodox,19,8,0,
Justin,McCully,The Insane One,73.0,225.0,73.0,Orthodox,11,5,2,
Robert,McDaniel,Bubba,75.0,185.0,75.0,Southpaw,28,10,0,
Michael,McDonald,The Black Sniper,71.0,205.0,,Orthodox,1,1,0,
Scott,McDonald,,,,,Unrecorded,1,0,0,
Michael,McDonald,Mayday,69.0,135.0,70.0,Orthodox,17,4,0,
Josh,McDonald,,,185.0,,Unrecorded,9,5,0,
Miles,McDonald,,67.0,115.0,,Unrecorded,2,1,0,
Justin,McElfresh,,78.0,205.0,,Orthodox,6,4,0,
Drew,McFedries,The Massacre,72.0,185.0,72.0,Southpaw,12,7,0,
Liam,McGeary,,78.0,205.0,,Unrecorded,12,2,0,
Gan,McGee,The Giant,82.0,265.0,,Orthodox,13,5,0,
Court,McGee,The Crusher,71.0,170.0,75.0,Orthodox,23,13,0,
Marcus,McGhee,The Maniac,68.0,135.0,69.0,Orthodox,10,1,0,
Ryan,McGillivray,The Kid,71.0,170.0,,Unrecorded,12,0,1,
Ryan,McGivern,,72.0,185.0,,Orthodox,13,7,0,
Jack,McGlaughlin,,,,,Orthodox,1,4,0,
Conor,McGregor,The Notorious,69.0,155.0,74.0,Southpaw,22,6,0,
Greg,McIntyre,,70.0,155.0,,Orthodox,6,4,0,
Antonio,McKee,Mandingo,68.0,155.0,,Southpaw,29,6,2,
AJ,McKee,Mercenary,70.0,145.0,,Unrecorded,8,0,0,
Rhys,McKee,Skeletor,74.0,170.0,78.0,Orthodox,13,6,1,
Cory,McKenna,Poppins,63.0,115.0,58.0,Orthodox,8,4,0,
Tim,McKenzie,,72.0,185.0,74.0,Orthodox,14,9,0,
Cody,McKenzie,,72.0,155.0,72.0,Switch,16,10,0,
Terrance,McKinney,T. Wrecks,70.0,155.0,73.0,Switch,16,7,0,
Brian,McLaughlin,,69.0,155.0,,Unrecorded,6,2,0,
Jason,McLean,,65.0,145.0,,Unrecorded,6,7,0,
Garreth,McLellan,Soldier Boy,73.0,185.0,72.0,Southpaw,13,6,0,
Sara,McMann,,66.0,135.0,66.0,Orthodox,13,6,0,
Tommy,McMillen,Gun,,145.0,,Unrecorded,6,0,0,
James,McSweeney,The Hammer,76.0,230.0,77.0,Switch,15,15,0,
Charles,McTorry,,,,,Unrecorded,3,0,0,
Daniel,McWilliams,The Animal,73.0,185.0,,Unrecorded,15,37,0,
Tim,Means,The Dirty Bird,74.0,170.0,75.0,Orthodox,33,17,1,
Yancy,Medeiros,,70.0,155.0,75.0,Orthodox,15,8,0,
Anistavio,Medeiros,Gasparzinho,66.0,145.0,,Orthodox,19,10,0,
Kaline,Medeiros,The Dark Angel,63.0,115.0,,Unrecorded,8,5,0,
MarQuel,Mederos,,70.0,155.0,69.0,Orthodox,9,1,0,
Uros,Medic,The Doctor,73.0,170.0,71.0,Southpaw,10,3,0,
Todd,Medina,El Tiburon,70.0,193.0,,Southpaw,11,9,0,
Jason,Medina,,69.0,180.0,,Unrecorded,21,15,1,
Jose Daniel,Medina,Chicho,72.0,185.0,74.0,Orthodox,11,4,0,
Emil,Meek,Valhalla,71.0,170.0,74.0,Switch,9,5,1,
Sanford Alton,Meeks,,77.0,265.0,75.0,Orthodox,1,1,0,
Gerald,Meerschaert,GM3,73.0,185.0,77.0,Southpaw,37,18,0,
Frank,Megallon,,70.0,185.0,,Southpaw,2,3,0,
Derrick,Mehmen,Caveman,76.0,205.0,,Unrecorded,19,9,0,
Miika,Mehmet,,,205.0,,Orthodox,3,5,0,
Jordan,Mein,Young Gun,72.0,170.0,73.0,Orthodox,31,12,0,
Bryce,Mejia,,73.0,170.0,,Unrecorded,3,1,0,
Brian,Melancon,,68.0,170.0,,Orthodox,7,3,0,
Brandon,Melendez,The Murderer,71.0,155.0,,Southpaw,25,25,0,
Gilbert,Melendez,El Nino,69.0,145.0,73.0,Orthodox,22,8,0,
Nair,Melikyan,Ahalkalakski,66.0,155.0,,Unrecorded,11,0,0,
Marcelo,Mello,,67.0,170.0,,Southpaw,1,0,0,
Fabio,Mello,,65.0,155.0,,Southpaw,11,8,0,
Vanessa,Melo,,65.0,135.0,65.0,Orthodox,11,8,0,
Antonio,Mendes,Samurai,75.0,205.0,77.0,Southpaw,18,13,0,
Chad,Mendes,Money,66.0,145.0,66.0,Orthodox,18,5,0,
Augusto,Mendes,Tanquinho,66.0,135.0,65.0,Orthodox,6,2,0,
Eddie,Mendez,,70.0,185.0,,Unrecorded,8,3,1,
Mateus,Mendonca,Bocao,66.0,125.0,71.0,Orthodox,10,3,0,
Luis,Mendoza,,,155.0,,Unrecorded,0,1,0,
Pietro,Menga,,67.0,125.0,68.0,Southpaw,13,0,0,
